dataset,tool,precision,recall
stingseq,alphagenome,0.33004926108374383,0.5114503816793893
stingseq,alphagenome,0.3316831683168317,0.5114503816793893
stingseq,alphagenome,0.3333333333333333,0.5114503816793893
stingseq,alphagenome,0.335,0.5114503816793893
stingseq,alphagenome,0.33668341708542715,0.5114503816793893
stingseq,alphagenome,0.3383838383838384,0.5114503816793893
stingseq,alphagenome,0.3350253807106599,0.5038167938931297
stingseq,alphagenome,0.336734693877551,0.5038167938931297
stingseq,alphagenome,0.3333333333333333,0.4961832061068702
stingseq,alphagenome,0.33505154639175255,0.4961832061068702
stingseq,alphagenome,0.33678756476683935,0.4961832061068702
stingseq,alphagenome,0.3385416666666667,0.4961832061068702
stingseq,alphagenome,0.3403141361256545,0.4961832061068702
stingseq,alphagenome,0.34210526315789475,0.4961832061068702
stingseq,alphagenome,0.3439153439153439,0.4961832061068702
stingseq,alphagenome,0.34574468085106386,0.4961832061068702
stingseq,alphagenome,0.34759358288770054,0.4961832061068702
stingseq,alphagenome,0.34946236559139787,0.4961832061068702
stingseq,alphagenome,0.35135135135135137,0.4961832061068702
stingseq,alphagenome,0.3532608695652174,0.4961832061068702
stingseq,alphagenome,0.34972677595628415,0.48854961832061067
stingseq,alphagenome,0.3516483516483517,0.48854961832061067
stingseq,alphagenome,0.34806629834254144,0.48091603053435117
stingseq,alphagenome,0.35,0.48091603053435117
stingseq,alphagenome,0.35195530726256985,0.48091603053435117
stingseq,alphagenome,0.3539325842696629,0.48091603053435117
stingseq,alphagenome,0.3559322033898305,0.48091603053435117
stingseq,alphagenome,0.35795454545454547,0.48091603053435117
stingseq,alphagenome,0.35428571428571426,0.4732824427480916
stingseq,alphagenome,0.3563218390804598,0.4732824427480916
stingseq,alphagenome,0.35260115606936415,0.46564885496183206
stingseq,alphagenome,0.3546511627906977,0.46564885496183206
stingseq,alphagenome,0.3567251461988304,0.46564885496183206
stingseq,alphagenome,0.3588235294117647,0.46564885496183206
stingseq,alphagenome,0.35502958579881655,0.4580152671755725
stingseq,alphagenome,0.35119047619047616,0.45038167938931295
stingseq,alphagenome,0.3532934131736527,0.45038167938931295
stingseq,alphagenome,0.35542168674698793,0.45038167938931295
stingseq,alphagenome,0.3575757575757576,0.45038167938931295
stingseq,alphagenome,0.3597560975609756,0.45038167938931295
stingseq,alphagenome,0.3558282208588957,0.44274809160305345
stingseq,alphagenome,0.35185185185185186,0.4351145038167939
stingseq,alphagenome,0.35403726708074534,0.4351145038167939
stingseq,alphagenome,0.35625,0.4351145038167939
stingseq,alphagenome,0.3584905660377358,0.4351145038167939
stingseq,alphagenome,0.36075949367088606,0.4351145038167939
stingseq,alphagenome,0.3630573248407643,0.4351145038167939
stingseq,alphagenome,0.36538461538461536,0.4351145038167939
stingseq,alphagenome,0.36774193548387096,0.4351145038167939
stingseq,alphagenome,0.37012987012987014,0.4351145038167939
stingseq,alphagenome,0.37254901960784315,0.4351145038167939
stingseq,alphagenome,0.375,0.4351145038167939
stingseq,alphagenome,0.3708609271523179,0.42748091603053434
stingseq,alphagenome,0.37333333333333335,0.42748091603053434
stingseq,alphagenome,0.37583892617449666,0.42748091603053434
stingseq,alphagenome,0.3783783783783784,0.42748091603053434
stingseq,alphagenome,0.38095238095238093,0.42748091603053434
stingseq,alphagenome,0.3767123287671233,0.4198473282442748
stingseq,alphagenome,0.3724137931034483,0.4122137404580153
stingseq,alphagenome,0.375,0.4122137404580153
stingseq,alphagenome,0.3706293706293706,0.40458015267175573
stingseq,alphagenome,0.3732394366197183,0.40458015267175573
stingseq,alphagenome,0.375886524822695,0.40458015267175573
stingseq,alphagenome,0.37142857142857144,0.3969465648854962
stingseq,alphagenome,0.3669064748201439,0.3893129770992366
stingseq,alphagenome,0.3695652173913043,0.3893129770992366
stingseq,alphagenome,0.3722627737226277,0.3893129770992366
stingseq,alphagenome,0.375,0.3893129770992366
stingseq,alphagenome,0.37777777777777777,0.3893129770992366
